experiment,series,step,loss
alignment_only,kd_loss,0,0.973721444606781
alignment_only,kd_loss,1,0.494995653629303
alignment_only,kd_loss,2,0.4596710205078125
alignment_only,kd_loss,3,0.4428454637527466
alignment_only,kd_loss,4,0.4321722984313965
alignment_only,kd_loss,5,0.424443781375885
alignment_only,kd_loss,6,0.41841840744018555
alignment_only,kd_loss,7,0.4134945273399353
alignment_only,kd_loss,8,0.4093427062034607
alignment_only,kd_loss,9,0.40576303005218506
alignment_only,kd_loss,10,0.40262657403945923
alignment_only,kd_loss,11,0.3998446464538574
alignment_only,kd_loss,12,0.39735323190689087
alignment_only,kd_loss,13,0.39510399103164673
alignment_only,kd_loss,14,0.39306002855300903
alignment_only,kd_loss,15,0.39119136333465576
alignment_only,kd_loss,16,0.3894726634025574
alignment_only,kd_loss,17,0.387884259223938
alignment_only,kd_loss,18,0.38641005754470825
alignment_only,kd_loss,19,0.3850337266921997
alignment_only,kd_loss,20,0.3837452530860901
integrated_fixed_batch,weighted_kd_loss,0,0.09991300106048584
integrated_fixed_batch,yolo_detection_loss,0,26.412952423095703
integrated_fixed_batch,total_loss,0,26.512863159179688
integrated_fixed_batch,weighted_kd_loss,1,0.09909561276435852
integrated_fixed_batch,yolo_detection_loss,1,26.925182342529297
integrated_fixed_batch,total_loss,1,27.02427864074707
integrated_fixed_batch,weighted_kd_loss,2,0.09911548346281052
integrated_fixed_batch,yolo_detection_loss,2,27.84455108642578
integrated_fixed_batch,total_loss,2,27.943668365478516
integrated_fixed_batch,weighted_kd_loss,3,0.09826409071683884
integrated_fixed_batch,yolo_detection_loss,3,26.409324645996094
integrated_fixed_batch,total_loss,3,26.50758934020996
integrated_fixed_batch,weighted_kd_loss,4,0.0976409763097763
integrated_fixed_batch,yolo_detection_loss,4,25.748836517333984
integrated_fixed_batch,total_loss,4,25.846477508544922
