epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,6.60389,3.61639,6.00592,0.06552,2.99003,0.52779,0,0,0,0,3.60183,5.82749,0.06696,0,0,0.527788,0.393376,0.134412,0.983441,0.336029,0.0335224,0.1,0.1,0,1,0.0031,0.0031,0.0721,0.00155,0.0062
2,13.4418,3.59012,5.9055,0.06819,2.26905,0.52972,0,0,0,0,3.59931,5.8339,0.06686,0,0,0.529721,0.395599,0.134122,0.988997,0.335304,0.0353756,0.1,0.1,0,1,0.0056763,0.0056763,0.0426763,0.00283815,0.0113526
3,19.6604,3.68154,6.01462,0.06501,1.67027,0.53387,0,0,0,0,3.59996,5.8343,0.06687,0,0,0.533874,0.394077,0.139797,0.985192,0.349492,0.0367313,0.1,0.1,0,1,0.007619,0.007619,0.012619,0.0038095,0.015238
4,26.7156,3.56244,6.01872,0.06351,1.41235,0.53433,0,0,0,0,3.57617,5.83092,0.06615,0,0,0.534328,0.394149,0.140178,0.985373,0.350446,0.0375734,0.1,0.1,0,1,0.00703,0.00703,0.00703,0.003515,0.01406
5,33.6747,3.62144,5.94777,0.06946,1.27029,0.53769,0.00013,0.00159,1e-05,0,3.65916,8.10448,0.07015,0,0,0.537686,0.394231,0.143455,0.985578,0.358637,0.0382793,0.1,0.1,0,1,0.00604,0.00604,0.00604,0.00302,0.01208
6,40.2452,3.63283,6.00928,0.06402,1.1867,0.53557,5e-05,0.00108,1e-05,0,3.64698,172.589,0.07339,0,0,0.535569,0.39431,0.141259,0.985775,0.353147,0.038147,0.1,0.1,0,1,0.00505,0.00505,0.00505,0.002525,0.0101
7,47.1574,3.66187,5.95536,0.06632,1.12266,0.53618,4e-05,0.00108,0,0,3.64581,25.6065,0.06981,0,0,0.53618,0.394125,0.142055,0.985313,0.355137,0.0383272,0.1,0.1,0,1,0.00406,0.00406,0.00406,0.00203,0.00812
8,53.54,3.54403,5.93014,0.06475,1.08671,0.53537,9e-05,0.0043,1e-05,0,3.60085,67.0289,0.07302,0,0,0.535368,0.394392,0.140977,0.985979,0.352442,0.0388793,0.1,0.1,0,1,0.00307,0.00307,0.00307,0.001535,0.00614
9,60.6744,3.58929,6.00628,0.06401,1.0619,0.5346,0.09873,0.00108,4e-05,1e-05,3.69733,206.443,0.0776,0,0,0.534597,0.394222,0.140375,0.985555,0.350938,0.0384705,0.1,0.1,0,1,0.00208,0.00208,0.00208,0.00104,0.00416
10,67.3418,3.61218,5.95256,0.06665,1.04294,0.53234,0.42527,0.00108,0.0004,9e-05,3.64388,38.9715,0.07256,0,0,0.53234,0.395045,0.137295,0.987613,0.343237,0.0384537,0.1,0.1,0,1,0.00109,0.00109,0.00109,0.000545,0.00218
