epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,7.62721,3.56561,5.88067,0.06434,2.98619,0.19443,0,0,0,0,3.6043,5.82711,0.06716,0,0,0.194429,0.194429,0,0.972144,0,0.0124168,0.05,0.05,0,1,0.0031,0.0031,0.0721,0.00155,0.0062
2,14.6332,3.59166,5.87725,0.06298,2.26204,0.19445,0,0,0,0,3.60633,5.83155,0.06737,0,0,0.19445,0.19445,0,0.972252,0,0.013046,0.05,0.05,0,1,0.0056763,0.0056763,0.0426763,0.00283815,0.0113526
3,21.3816,3.65545,5.89555,0.06843,1.67811,0.19428,0,0,0,0,3.6048,5.83686,0.06764,0,0,0.194279,0.194279,0,0.971394,0,0.0134949,0.05,0.05,0,1,0.007619,0.007619,0.012619,0.0038095,0.015238
4,27.7937,3.78225,5.92156,0.07011,1.40865,0.19431,0,0,0,0,3.606,5.83986,0.06745,0,0,0.194308,0.194308,0,0.971539,0,0.0135823,0.05,0.05,0,1,0.00703,0.00703,0.00703,0.003515,0.01406
5,34.5747,3.56932,5.86492,0.06895,1.26403,0.19396,0.00111,0.01019,0.00035,8e-05,3.65587,6.06421,0.06735,0,0,0.193962,0.193962,0,0.969808,0,0.0139445,0.05,0.05,0,1,0.00604,0.00604,0.00604,0.00302,0.01208
6,41.6369,3.67398,5.89991,0.06595,1.17951,0.19357,0.00012,0.00788,1e-05,0,4.00988,175.101,0.08523,0,0,0.193573,0.193573,0,0.967866,0,0.0138774,0.05,0.05,0,1,0.00505,0.00505,0.00505,0.002525,0.0101
7,48.4071,3.66814,5.92406,0.06563,1.12299,0.19455,0.00014,0.0043,2e-05,1e-05,4.38229,2390.83,0.11685,0,0,0.194554,0.194554,0,0.972771,0,0.0139557,0.05,0.05,0,1,0.00406,0.00406,0.00406,0.00203,0.00812
8,55.2209,3.58015,5.90427,0.06897,1.08706,0.19372,0.08463,0.00671,4e-05,1e-05,4.10276,731.366,0.09726,0,0,0.193724,0.193724,0,0.968618,0,0.0140698,0.05,0.05,0,1,0.00307,0.00307,0.00307,0.001535,0.00614
9,62.2149,3.69069,5.92922,0.06822,1.058,0.19327,9e-05,0.00782,1e-05,0,3.84434,166.125,0.07927,0,0,0.19327,0.19327,0,0.966349,0,0.0138751,0.05,0.05,0,1,0.00208,0.00208,0.00208,0.00104,0.00416
10,69.7058,3.65813,5.97715,0.06728,1.04161,0.19305,0.00111,0.00692,0.00018,3e-05,3.79141,67.5419,0.07383,0,0,0.193054,0.193054,0,0.96527,0,0.0138627,0.05,0.05,0,1,0.00109,0.00109,0.00109,0.000545,0.00218
