epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,6.08605,3.61839,6.0042,0.06547,2.9915,0,0,0,0,3.60183,5.82754,0.06696,0,0.0031,0.0031,0.0721,0.00155,0.0062
2,11.795,3.57589,5.89865,0.0678,2.26557,0,0,0,0,3.599,5.83465,0.06694,0,0.0056763,0.0056763,0.0426763,0.00283815,0.0113526
3,17.3982,3.67796,6.00113,0.06577,1.67078,0,0,0,0,3.59938,5.83611,0.06698,0,0.007619,0.007619,0.012619,0.0038095,0.015238
4,23.3493,3.54237,6.01354,0.0626,1.40991,0,0,0,0,3.59156,5.83556,0.06648,0,0.00703,0.00703,0.00703,0.003515,0.01406
5,29.5383,3.55273,5.91962,0.06758,1.26637,0.66565,0.00108,0.00093,0.00015,3.61662,7.76144,0.07045,0,0.00604,0.00604,0.00604,0.00302,0.01208
6,35.625,3.60822,5.98865,0.06425,1.17668,0,0,0,0,3.67522,55.4801,0.07679,0,0.00505,0.00505,0.00505,0.002525,0.0101
7,41.7286,3.66184,5.94895,0.06714,1.12684,0.00014,0.0044,2e-05,0,3.72792,91.7523,0.07701,0,0.00406,0.00406,0.00406,0.00203,0.00812
8,47.7465,3.60998,5.97077,0.06578,1.08741,0.00031,0.00813,0.00015,2e-05,3.72507,90.5681,0.07387,0,0.00307,0.00307,0.00307,0.001535,0.00614
9,53.8048,3.56426,5.98765,0.06388,1.06122,0.00048,0.00438,0.00012,2e-05,3.71163,163.303,0.07527,0,0.00208,0.00208,0.00208,0.00104,0.00416
10,59.8632,3.61757,5.98815,0.0681,1.0452,0.0001,0.00323,1e-05,0,3.69623,153.196,0.07404,0,0.00109,0.00109,0.00109,0.000545,0.00218
