epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,6.94316,3.65506,5.99161,0.06669,2.99014,0.26356,0,0,0,0,3.60759,5.82544,0.06693,0,0,0.263558,0.196438,0.0671201,0.982191,0.3356,0.0167011,0.05,0.05,0,1,0.0031,0.0031,0.0721,0.00155,0.0062
2,14.0882,3.68254,5.93228,0.0676,2.26264,0.26533,0,0,0,0,3.61501,5.82795,0.067,0,0,0.265331,0.196437,0.0688945,0.982183,0.344472,0.0175914,0.05,0.05,0,1,0.0056763,0.0056763,0.0426763,0.00283815,0.0113526
3,21.2101,3.6743,5.92711,0.0677,1.67672,0.26057,0,0,0,0,3.61725,5.82849,0.0669,0,0,0.260571,0.196055,0.0645158,0.980276,0.322579,0.0180265,0.05,0.05,0,1,0.007619,0.007619,0.012619,0.0038095,0.015238
4,27.7818,3.62506,6.00049,0.06392,1.41375,0.26578,0,0,0,0,3.6205,5.832,0.06677,0,0,0.26578,0.196571,0.0692099,0.982853,0.34605,0.0186828,0.05,0.05,0,1,0.00703,0.00703,0.00703,0.003515,0.01406
5,35.0075,3.68646,5.90403,0.06905,1.27297,0.26823,0,0,0,0,3.6041,5.83531,0.06617,0,0,0.268234,0.197335,0.070899,0.986673,0.354495,0.0190429,0.05,0.05,0,1,0.00604,0.00604,0.00604,0.00302,0.01208
6,42.372,3.60134,5.94581,0.06483,1.18414,0.26583,0.1972,0.00235,1e-05,0,3.76582,544.462,0.07688,0,0,0.265826,0.195969,0.0698567,0.979847,0.349284,0.0190716,0.05,0.05,0,1,0.00505,0.00505,0.00505,0.002525,0.0101
7,49.1934,3.62404,5.95729,0.06454,1.12594,0.26259,9e-05,0.00114,0,0,3.69851,1955.62,0.08035,0,0,0.262592,0.195254,0.0673383,0.976271,0.336691,0.0188489,0.05,0.05,0,1,0.00406,0.00406,0.00406,0.00203,0.00812
8,55.8876,3.55547,5.87769,0.06256,1.08592,0.26513,0.00025,0.00296,2e-05,0,3.72219,1076.62,0.07894,0,0,0.26513,0.194557,0.0705722,0.972787,0.352861,0.0193365,0.05,0.05,0,1,0.00307,0.00307,0.00307,0.001535,0.00614
9,62.634,3.51596,5.94313,0.06541,1.06443,0.26548,0.00021,0.01025,7e-05,1e-05,3.73625,777.135,0.07624,0,0,0.265481,0.195097,0.0703839,0.975486,0.35192,0.0193573,0.05,0.05,0,1,0.00208,0.00208,0.00208,0.00104,0.00416
10,70.1652,3.58617,5.96211,0.06611,1.04323,0.26491,0.00028,0.00726,6e-05,1e-05,3.64602,351.832,0.07342,0,0,0.264906,0.195284,0.0696222,0.976421,0.348111,0.019161,0.05,0.05,0,1,0.00109,0.00109,0.00109,0.000545,0.00218
