epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,80.4647,3.66633,5.63928,0.05538,1.32465,0.00026,0.00387,2e-05,0,3.78345,668.51,0.07325,0,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,156.474,3.67771,5.63621,0.05595,1.00141,0.00015,0.00219,1e-05,0,3.82231,47771.2,0.09301,0,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,231.117,3.63164,5.60656,0.05449,0.99958,0.00011,5e-05,0,0,3.64168,32.7231,0.06132,0,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,307.646,3.59696,5.3725,0.05118,0.99808,0.00063,0.00202,7e-05,2e-05,3.58049,5.82245,0.05549,0,0.009406,0.009406,0.009406,0.004703,0.018812
5,380.693,3.48074,5.09534,0.04597,0.99981,7e-05,0.00442,3e-05,1e-05,3.48482,17.7553,0.0522,0,0.009208,0.009208,0.009208,0.004604,0.018416
6,462.868,3.32618,4.91819,0.04205,0.99866,8e-05,0.00602,3e-05,1e-05,3.45215,143.125,0.05188,0,0.00901,0.00901,0.00901,0.004505,0.01802
7,544.387,3.22891,4.78956,0.03952,0.99955,0.0003,0.01108,7e-05,2e-05,3.27076,51.9616,0.04775,0,0.008812,0.008812,0.008812,0.004406,0.017624
8,619.676,3.10023,4.70217,0.0369,0.99854,0.00096,0.01767,0.00033,9e-05,3.15789,29.7063,0.04316,0,0.008614,0.008614,0.008614,0.004307,0.017228
9,691.828,2.99263,4.61333,0.03518,0.99978,0.00121,0.03146,0.00056,0.00031,3.11852,54.3781,0.0428,0,0.008416,0.008416,0.008416,0.004208,0.016832
10,759.895,2.97897,4.53919,0.0334,0.99875,0.00093,0.0329,0.0008,0.00029,3.04528,14.2037,0.0393,0,0.008218,0.008218,0.008218,0.004109,0.016436
11,825.062,2.91573,4.52651,0.03269,0.9969,0.00224,0.05751,0.00089,0.00029,2.9685,7.58413,0.03782,0,0.00802,0.00802,0.00802,0.00401,0.01604
12,895.004,2.88365,4.50145,0.03278,0.99743,0.00234,0.06033,0.00084,0.00028,2.98827,7.57037,0.03737,0,0.007822,0.007822,0.007822,0.003911,0.015644
13,971.066,2.87676,4.43977,0.03161,0.9973,0.00196,0.06184,0.0016,0.00077,2.98693,5.03511,0.03671,0,0.007624,0.007624,0.007624,0.003812,0.015248
14,1047.14,2.86285,4.39701,0.03095,0.99782,0.00194,0.08029,0.00267,0.0013,2.91828,5.18774,0.03573,0,0.007426,0.007426,0.007426,0.003713,0.014852
15,1120.31,2.82205,4.35484,0.03048,0.99715,0.00442,0.08153,0.00252,0.00123,2.90093,5.65696,0.03632,0,0.007228,0.007228,0.007228,0.003614,0.014456
16,1187.37,2.8057,4.34015,0.03028,0.99744,0.00502,0.09245,0.00353,0.00162,2.89898,4.96717,0.03587,0,0.00703,0.00703,0.00703,0.003515,0.01406
