epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,7.04644,3.57234,5.66,0.05585,2.98557,0,0,0,0,3.60426,5.82705,0.06715,0,0.0031,0.0031,0.0721,0.00155,0.0062
2,13.4109,3.62327,5.63979,0.05973,2.2642,0,0,0,0,3.60549,5.83055,0.06751,0,0.00617526,0.00617526,0.0431753,0.00308763,0.0123505
3,19.7128,3.66874,5.63933,0.05809,1.67567,0,0,0,0,3.60753,5.83599,0.06759,0,0.0091238,0.0091238,0.0141238,0.0045619,0.0182476
4,26.901,3.67332,5.65692,0.05976,1.40937,0,0,0,0,3.60767,5.8379,0.06758,0,0.009406,0.009406,0.009406,0.004703,0.018812
5,34.1325,3.60067,5.55281,0.06173,1.26192,0.00019,0.0019,1e-05,0,3.72871,172.273,0.07979,0,0.009208,0.009208,0.009208,0.004604,0.018416
6,41.3242,3.58809,5.64078,0.06195,1.1773,5e-05,0.00078,0,0,4.31616,9335.61,0.13082,0,0.00901,0.00901,0.00901,0.004505,0.01802
7,48.2749,3.59491,5.60968,0.05709,1.12555,7e-05,0.01012,2e-05,0,4.26172,21303.6,0.13269,0,0.008812,0.008812,0.008812,0.004406,0.017624
8,55.1178,3.5565,5.61678,0.0574,1.08897,5e-05,0.00173,0,0,3.94035,5049.78,0.1035,0,0.008614,0.008614,0.008614,0.004307,0.017228
9,62.343,3.66935,5.62224,0.06231,1.06373,5e-05,0.01408,3e-05,0,3.72242,1924.39,0.0812,0,0.008416,0.008416,0.008416,0.004208,0.016832
10,69.7369,3.57383,5.61969,0.05813,1.04454,0.05635,0.00067,0,0,3.75616,5315.2,0.08909,0,0.008218,0.008218,0.008218,0.004109,0.016436
11,76.9607,3.73723,5.62483,0.06134,1.0265,5e-05,0.00537,2e-05,0,3.81382,3677.39,0.09085,0,0.00802,0.00802,0.00802,0.00401,0.01604
12,83.6077,3.61686,5.60158,0.06225,1.02629,0.05638,0.00201,1e-05,0,3.72901,3242.92,0.08199,0,0.007822,0.007822,0.007822,0.003911,0.015644
13,90.4547,3.55829,5.59621,0.05785,1.0172,0.07056,0.00469,6e-05,1e-05,3.72873,2984.89,0.07732,0,0.007624,0.007624,0.007624,0.003812,0.015248
14,97.444,3.68479,5.66458,0.0594,1.01269,0.07045,0.00268,0,0,3.7508,2028.73,0.07386,0,0.007426,0.007426,0.007426,0.003713,0.014852
15,104.79,3.56478,5.62958,0.05754,1.00534,0.00038,0.00017,1e-05,0,3.65141,18.6185,0.0679,0,0.007228,0.007228,0.007228,0.003614,0.014456
16,111.789,3.52411,5.57395,0.05419,1.00472,0,0,0,0,3.63857,14.834,0.06812,0,0.00703,0.00703,0.00703,0.003515,0.01406
17,119.239,3.5788,5.57655,0.05973,1.00092,0,0,0,0,3.63244,14.1819,0.06822,0,0.006832,0.006832,0.006832,0.003416,0.013664
18,125.898,3.60292,5.60507,0.05929,1.0028,0.11283,0.00078,1e-05,1e-05,3.60943,193.47,0.06831,0,0.006634,0.006634,0.006634,0.003317,0.013268
19,132.91,3.53536,5.57841,0.05863,1.00383,0.00059,0.00469,0.0002,2e-05,3.58156,90.373,0.06811,0,0.006436,0.006436,0.006436,0.003218,0.012872
20,140.214,3.616,5.60259,0.05943,1.00214,0.00023,0.00408,3e-05,0,3.57897,184.628,0.06847,0,0.006238,0.006238,0.006238,0.003119,0.012476
21,147.401,3.62318,5.64601,0.05682,1.00431,0.05655,0.00235,4e-05,1e-05,3.62005,256.55,0.06885,0,0.00604,0.00604,0.00604,0.00302,0.01208
22,154.285,3.5759,5.6553,0.0615,1.00115,4e-05,0.00201,1e-05,0,3.66316,199.27,0.07068,0,0.005842,0.005842,0.005842,0.002921,0.011684
23,161.626,3.57272,5.58971,0.06038,0.99876,0,0,0,0,3.6649,839.464,0.07164,0,0.005644,0.005644,0.005644,0.002822,0.011288
24,168.26,3.61272,5.57332,0.0598,1.00469,0,0,0,0,3.59157,2173.46,0.0729,0,0.005446,0.005446,0.005446,0.002723,0.010892
25,175.66,3.57638,5.62341,0.05697,1.00004,0.00021,0.01179,8e-05,3e-05,3.78993,5790.25,0.0836,0,0.005248,0.005248,0.005248,0.002624,0.010496
26,183.034,3.65016,5.58151,0.05647,0.99996,7e-05,0.00078,0,0,3.6783,1860.68,0.07494,0,0.00505,0.00505,0.00505,0.002525,0.0101
27,190.25,3.62712,5.60712,0.05982,0.99843,0.0565,0.01643,0.00011,1e-05,3.61519,2214.38,0.07319,0,0.004852,0.004852,0.004852,0.002426,0.009704
28,196.913,3.63159,5.65648,0.05306,1.00031,0.00017,0.01945,0.00014,1e-05,3.57258,1117.65,0.07163,0,0.004654,0.004654,0.004654,0.002327,0.009308
29,203.937,3.62386,5.64129,0.05654,1.00021,0.1409,0.00704,4e-05,1e-05,3.58848,354.367,0.06925,0,0.004456,0.004456,0.004456,0.002228,0.008912
30,210.894,3.57721,5.61393,0.0548,0.9954,0.08469,0.00469,0.0001,1e-05,3.52714,125.568,0.06722,0,0.004258,0.004258,0.004258,0.002129,0.008516
31,218.395,3.5536,5.59747,0.05877,0.99896,0.12698,0.00235,5e-05,1e-05,3.55087,177.099,0.06902,0,0.00406,0.00406,0.00406,0.00203,0.00812
32,225.677,3.51533,5.52545,0.05604,0.99345,0.00029,0.00212,1e-05,0,3.58666,18.1829,0.06634,0,0.003862,0.003862,0.003862,0.001931,0.007724
33,232.653,3.59247,5.56983,0.05956,0.99891,0.0001,6e-05,0,0,3.58013,13.2559,0.06559,0,0.003664,0.003664,0.003664,0.001832,0.007328
34,239.282,3.63544,5.55205,0.05913,1.00139,0.00021,0.00279,3e-05,1e-05,3.55657,17.8699,0.06601,0,0.003466,0.003466,0.003466,0.001733,0.006932
35,246.242,3.57719,5.52084,0.05837,0.99561,0.00032,0.00319,5e-05,1e-05,3.54183,22.2725,0.06534,0,0.003268,0.003268,0.003268,0.001634,0.006536
36,253.585,3.66058,5.58405,0.06058,1.00198,0.0001,0.00017,0,0,3.56282,26.0688,0.06594,0,0.00307,0.00307,0.00307,0.001535,0.00614
