epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,75.9244,3.30695,7.59218,0.04892,1.32575,0.00027,0.00156,1e-05,0,3.60991,9.38586,0.06478,0,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,145.898,2.9542,6.68283,0.03938,1.0006,9e-05,0.00086,0,0,3.51247,62.4698,0.0617,0,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,217.16,2.70773,5.53096,0.03209,1.00078,0.61027,0.00608,0.00171,0.00071,2.92172,5.20312,0.04056,0,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,290.998,2.54852,4.57534,0.02735,0.9989,0.00605,0.11594,0.00743,0.00357,2.77175,6.14822,0.03439,0,0.009406,0.009406,0.009406,0.004703,0.018812
5,366.67,2.49941,4.09708,0.02641,0.99983,0.00837,0.14179,0.00881,0.00483,2.67899,19.9638,0.03199,0,0.009208,0.009208,0.009208,0.004604,0.018416
6,443.305,2.46055,3.9005,0.02558,1.00022,0.43506,0.02369,0.01564,0.00823,2.55718,4.05397,0.03031,0,0.00901,0.00901,0.00901,0.004505,0.01802
7,516.623,2.44477,3.773,0.02474,1.00015,0.59459,0.02188,0.01566,0.00714,2.5391,3.70764,0.02829,0,0.008812,0.008812,0.008812,0.004406,0.017624
8,583.519,2.4488,3.67984,0.02437,0.99927,0.49524,0.02385,0.02459,0.0125,2.54313,3.73591,0.02837,0,0.008614,0.008614,0.008614,0.004307,0.017228
9,647.87,2.40537,3.61299,0.02335,1.00099,0.49388,0.02767,0.0249,0.01219,2.46667,3.69232,0.027,0,0.008416,0.008416,0.008416,0.004208,0.016832
10,709.731,2.36253,3.57716,0.02364,0.99989,0.58554,0.03044,0.02751,0.01451,2.42594,3.51166,0.02685,0,0.008218,0.008218,0.008218,0.004109,0.016436
11,773.335,2.38447,3.54194,0.02327,0.99743,0.5467,0.03704,0.03292,0.01767,2.43418,3.88111,0.02681,0,0.00802,0.00802,0.00802,0.00401,0.01604
12,835.509,2.3622,3.49983,0.02297,0.99873,0.49645,0.04755,0.03811,0.02041,2.44591,3.72682,0.02587,0,0.007822,0.007822,0.007822,0.003911,0.015644
13,900.685,2.34426,3.47148,0.02253,0.99803,0.45099,0.05199,0.03649,0.01944,2.44427,3.64594,0.02596,0,0.007624,0.007624,0.007624,0.003812,0.015248
14,965.168,2.33665,3.45387,0.02259,0.99852,0.42964,0.04779,0.03919,0.02075,2.38844,3.76664,0.02561,0,0.007426,0.007426,0.007426,0.003713,0.014852
15,1028.84,2.33262,3.41488,0.02243,0.99885,0.42826,0.0541,0.04545,0.02545,2.38758,3.36907,0.02539,0,0.007228,0.007228,0.007228,0.003614,0.014456
16,1091.98,2.31399,3.39121,0.022,0.99821,0.38655,0.05828,0.04954,0.02605,2.376,3.36431,0.02553,0,0.00703,0.00703,0.00703,0.003515,0.01406
17,1157.65,2.27968,3.3879,0.02204,0.99834,0.4477,0.05906,0.04823,0.02559,2.3631,3.34151,0.0249,0,0.006832,0.006832,0.006832,0.003416,0.013664
18,1223.6,2.31102,3.37493,0.02216,0.99859,0.40051,0.06766,0.05542,0.02894,2.3803,3.29361,0.02529,0,0.006634,0.006634,0.006634,0.003317,0.013268
19,1291.15,2.3278,3.32616,0.02174,0.99819,0.34362,0.07069,0.05304,0.02912,2.33808,3.31508,0.02435,0,0.006436,0.006436,0.006436,0.003218,0.012872
20,1360.85,2.28402,3.30071,0.02173,0.99913,0.41191,0.06729,0.05754,0.03262,2.32642,3.25494,0.0238,0,0.006238,0.006238,0.006238,0.003119,0.012476
21,1425.58,2.27416,3.27233,0.02126,0.9991,0.38098,0.07292,0.05501,0.03129,2.33922,3.28059,0.0239,0,0.00604,0.00604,0.00604,0.00302,0.01208
22,1489.44,2.27968,3.23762,0.02157,0.99815,0.41603,0.07893,0.0548,0.03147,2.32316,3.22778,0.02391,0,0.005842,0.005842,0.005842,0.002921,0.011684
23,1554.29,2.25467,3.23841,0.02141,0.99975,0.30665,0.0789,0.0559,0.03221,2.29056,3.25793,0.02413,0,0.005644,0.005644,0.005644,0.002822,0.011288
24,1620.69,2.24152,3.24451,0.02096,0.99899,0.36518,0.07168,0.05667,0.02988,2.31905,3.24625,0.02376,0,0.005446,0.005446,0.005446,0.002723,0.010892
