epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,90.5686,3.22642,7.52147,0.04667,1.3246,0.60207,0.00045,0.00172,6e-05,2e-05,3.65198,11.5613,0.06859,0,0,0.602066,0.602066,0,1.00344,0,0.040439,0.15,0.15,0,1,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,173.656,2.9188,6.62769,0.03874,1.00171,0.60078,0.00168,0.00559,0.00029,0.00011,3.19486,7.28088,0.05347,0,0,0.600776,0.600776,0,1.00129,0,0.047079,0.15,0.15,0,1,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,258.512,2.70373,5.62985,0.03171,1.00002,0.59591,0.00288,0.06059,0.00148,0.00055,2.7312,4.96373,0.03516,0,0,0.595909,0.595909,0,0.993182,0,0.054025,0.15,0.15,0,1,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,349.583,2.59162,4.71365,0.02837,0.99945,0.58129,0.0044,0.06818,0.00378,0.00167,2.81943,5.99967,0.03637,0,0,0.581288,0.581288,0,0.968813,0,0.0590291,0.15,0.15,0,1,0.009406,0.009406,0.009406,0.004703,0.018812
5,435.842,2.54171,4.16084,0.02713,0.99947,0.54985,0.00503,0.14764,0.01052,0.00497,2.69115,4.13496,0.03197,0,0,0.549849,0.549849,0,0.916415,0,0.0596618,0.15,0.15,0,1,0.009208,0.009208,0.009208,0.004604,0.018416
6,516.155,2.49062,3.96406,0.02583,1.00017,0.50693,0.54002,0.02221,0.01361,0.00687,2.53766,3.89132,0.02985,0,0,0.50693,0.50693,0,0.844884,0,0.0568482,0.15,0.15,0,1,0.00901,0.00901,0.00901,0.004505,0.01802
7,602.52,2.45496,3.82515,0.02497,0.99947,0.46499,0.59167,0.01657,0.01627,0.00833,2.48573,3.72257,0.02817,0,0,0.464987,0.464987,0,0.774977,0,0.0534612,0.15,0.15,0,1,0.008812,0.008812,0.008812,0.004406,0.017624
8,685.444,2.41502,3.71782,0.02439,0.99975,0.43168,0.4582,0.03727,0.02481,0.01263,2.50656,3.69313,0.02767,0,0,0.431682,0.431682,0,0.719469,0,0.0506288,0.15,0.15,0,1,0.008614,0.008614,0.008614,0.004307,0.017228
9,763.271,2.39874,3.63999,0.02384,1.00123,0.39861,0.51583,0.03586,0.02692,0.01421,2.44474,3.6184,0.02757,0,0,0.398612,0.398612,0,0.664354,0,0.0474473,0.15,0.15,0,1,0.008416,0.008416,0.008416,0.004208,0.016832
10,838.422,2.40827,3.60835,0.02384,0.99973,0.36834,0.47749,0.03595,0.03089,0.01563,2.42576,3.61979,0.02705,0,0,0.368343,0.368343,0,0.613905,0,0.0440503,0.15,0.15,0,1,0.008218,0.008218,0.008218,0.004109,0.016436
