epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_cosine_loss,train/foundation_relational_loss,train/foundation_cosine_raw,train/foundation_relational_raw,train/foundation_task_ratio,train/foundation_loss_weight,train/foundation_effective_weight,train/foundation_foreground_enabled,train/foundation_foreground_mean_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,78.1885,3.31309,7.65003,0.04837,1.32519,0.59849,0.00014,0.00135,1e-05,0,3.8585,15.834,0.07123,0,0,0.59849,0.59849,0,0.997484,0,0.0395205,0.15,0.15,0,1,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,153.141,2.98567,6.79519,0.04046,1.00229,0.59771,0.00275,0.02018,0.00163,0.00067,2.94247,5.9213,0.04214,0,0,0.597713,0.597713,0,0.996188,0,0.0459441,0.15,0.15,0,1,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,228.37,2.59314,5.4201,0.02971,0.99911,0.59467,0.00597,0.06706,0.00332,0.00161,2.70412,18.2625,0.03151,0,0,0.594674,0.594674,0,0.991123,0,0.0560787,0.15,0.15,0,1,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,305.094,2.54272,4.36849,0.02705,0.99886,0.58571,0.0056,0.12652,0.00745,0.00411,2.5857,4.42535,0.03129,0,0,0.585708,0.585708,0,0.97618,0,0.0626222,0.15,0.15,0,1,0.009406,0.009406,0.009406,0.004703,0.018812
5,382.153,2.47423,3.99878,0.02571,0.99985,0.56449,0.12666,0.03657,0.00785,0.00411,2.66219,4.25669,0.03096,0,0,0.564491,0.564491,0,0.940819,0,0.0634779,0.15,0.15,0,1,0.009208,0.009208,0.009208,0.004604,0.018416
6,458.551,2.46718,3.85816,0.02521,0.99966,0.53779,0.01964,0.19857,0.01598,0.00787,2.52343,3.73595,0.02828,0,0,0.53779,0.53779,0,0.896316,0,0.0616351,0.15,0.15,0,1,0.00901,0.00901,0.00901,0.004505,0.01802
7,533.901,2.45725,3.72157,0.02445,1.00001,0.51159,0.65806,0.0263,0.02131,0.01046,2.53634,3.62594,0.02862,0,0,0.511593,0.511593,0,0.852654,0,0.0597962,0.15,0.15,0,1,0.008812,0.008812,0.008812,0.004406,0.017624
8,606.904,2.40929,3.67211,0.02375,0.99987,0.48183,0.56662,0.02539,0.02338,0.0128,2.49744,3.59077,0.02689,0,0,0.48183,0.48183,0,0.80305,0,0.0573069,0.15,0.15,0,1,0.008614,0.008614,0.008614,0.004307,0.017228
9,676.795,2.36219,3.58476,0.02359,1.00088,0.45377,0.56865,0.02863,0.0288,0.01564,2.43311,3.5582,0.02677,0,0,0.453774,0.453774,0,0.75629,0,0.0548528,0.15,0.15,0,1,0.008416,0.008416,0.008416,0.004208,0.016832
10,743.926,2.39904,3.53982,0.02323,0.99953,0.42202,0.51338,0.039,0.03766,0.02022,2.42081,3.47023,0.02614,0,0,0.422015,0.422015,0,0.703358,0,0.0511955,0.15,0.15,0,1,0.008218,0.008218,0.008218,0.004109,0.016436
11,811.964,2.37133,3.5017,0.02306,0.99851,0.38634,0.51263,0.03741,0.03678,0.01901,2.44975,3.41732,0.02628,0,0,0.386336,0.386336,0,0.643893,0,0.0472956,0.15,0.15,0,1,0.00802,0.00802,0.00802,0.00401,0.01604
12,882.336,2.33894,3.50267,0.02323,0.99829,0.35132,0.44865,0.04428,0.03942,0.02081,2.38821,3.41413,0.02595,0,0,0.351315,0.351315,0,0.585525,0,0.0431191,0.15,0.15,0,1,0.007822,0.007822,0.007822,0.003911,0.015644
13,952.23,2.3545,3.46172,0.02268,0.99848,0.31022,0.39703,0.04764,0.03937,0.01968,2.41695,3.40908,0.02555,0,0,0.310222,0.310222,0,0.517037,0,0.0383143,0.15,0.15,0,1,0.007624,0.007624,0.007624,0.003812,0.015248
14,1022.13,2.36144,3.4399,0.02251,0.99853,0.28322,0.42447,0.05438,0.04337,0.02223,2.39378,3.38997,0.02539,0,0,0.283223,0.283223,0,0.472038,0,0.0350437,0.15,0.15,0,1,0.007426,0.007426,0.007426,0.003713,0.014852
15,1092.45,2.33499,3.39283,0.02216,0.99806,0.25477,0.45435,0.05028,0.04739,0.0249,2.38288,3.34455,0.02493,0,0,0.254769,0.254769,0,0.424615,0,0.0318205,0.15,0.15,0,1,0.007228,0.007228,0.007228,0.003614,0.014456
16,1160.63,2.32373,3.36611,0.02225,0.99841,0.2347,0.47839,0.06096,0.04611,0.02515,2.34036,3.34715,0.02511,0,0,0.234699,0.234699,0,0.391165,0,0.0294658,0.15,0.15,0,1,0.00703,0.00703,0.00703,0.003515,0.01406
17,1228.48,2.30202,3.33174,0.02214,0.9987,0.22059,0.34687,0.06782,0.05042,0.02653,2.37965,3.29453,0.0254,0,0,0.220587,0.220587,0,0.367646,0,0.0278821,0.15,0.15,0,1,0.006832,0.006832,0.006832,0.003416,0.013664
18,1295.74,2.30435,3.3179,0.02153,0.99791,0.21005,0.36839,0.06751,0.05054,0.02632,2.36974,3.30106,0.02498,0,0,0.210047,0.210047,0,0.350078,0,0.0266206,0.15,0.15,0,1,0.006634,0.006634,0.006634,0.003317,0.013268
19,1362.63,2.28856,3.29593,0.02175,0.99919,0.20459,0.3856,0.07942,0.05894,0.03088,2.34796,3.24796,0.02458,0,0,0.204586,0.204586,0,0.340977,0,0.0260637,0.15,0.15,0,1,0.006436,0.006436,0.006436,0.003218,0.012872
20,1429.18,2.27622,3.27719,0.02188,0.99813,0.20051,0.47236,0.07659,0.06374,0.03528,2.32396,3.25976,0.02428,0,0,0.200507,0.200507,0,0.334179,0,0.0256102,0.15,0.15,0,1,0.006238,0.006238,0.006238,0.003119,0.012476
21,1496.44,2.26718,3.28104,0.02134,0.99971,0.19717,0.36119,0.07874,0.06408,0.03428,2.31983,3.23734,0.02451,0,0,0.197169,0.197169,0,0.328615,0,0.025173,0.15,0.15,0,1,0.00604,0.00604,0.00604,0.00302,0.01208
