epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_clean_static_raw,train/foundation_second_raw,train/foundation_loss_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,175.666,3.29422,7.69665,0.04807,1.32593,1.19298,0.00013,0.001,1e-05,0,3.65427,8.54362,0.0681,0,0,1.19298,0.994125,0.99418,0.15,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,342.956,2.91948,6.61971,0.03907,1.00223,1.18434,0.63991,0.00153,0.00076,0.00023,3.14133,6.80681,0.04609,0,0,1.18434,0.986492,0.987412,0.15,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,512.647,2.60075,5.41624,0.03023,1.00251,1.15768,0.00218,0.01278,0.00047,0.00026,3.42397,19.4265,0.04754,0,0,1.15768,0.96425,0.965217,0.15,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,675.005,2.55671,4.39369,0.02693,1.00171,1.0735,0.00506,0.11633,0.00756,0.00385,2.62048,4.35434,0.03158,0,0,1.0735,0.894152,0.895018,0.15,0.009406,0.009406,0.009406,0.004703,0.018812
5,813.028,2.47546,4.03073,0.02555,1.00334,0.93702,0.00622,0.17753,0.01312,0.0068,2.57778,3.99835,0.02933,0,0,0.937022,0.780511,0.781192,0.15,0.009208,0.009208,0.009208,0.004604,0.018416
6,947.049,2.46777,3.87629,0.02527,0.99824,0.7843,0.22933,0.06149,0.01691,0.00936,2.56666,3.8516,0.02899,0,0,0.784302,0.653869,0.653301,0.15,0.00901,0.00901,0.00901,0.004505,0.01802
7,1080.72,2.45948,3.75577,0.02452,0.99853,0.62163,0.27939,0.05473,0.01933,0.00972,2.56882,3.73218,0.02902,0,0,0.621633,0.518495,0.51756,0.15,0.008812,0.008812,0.008812,0.004406,0.017624
8,1214.39,2.41168,3.67486,0.024,0.99768,0.51959,0.48721,0.02806,0.02358,0.01128,2.56342,3.70092,0.02754,0,0,0.519593,0.433268,0.43272,0.15,0.008614,0.008614,0.008614,0.004307,0.017228
9,1348.04,2.36668,3.6071,0.02363,0.99742,0.48129,0.47153,0.03973,0.0297,0.01444,2.42655,3.66605,0.02716,0,0,0.481293,0.401072,0.401083,0.15,0.008416,0.008416,0.008416,0.004208,0.016832
10,1481.74,2.4192,3.5602,0.02351,0.99795,0.44463,0.5142,0.03008,0.02902,0.01468,2.41788,3.54953,0.02679,0,0,0.444629,0.370266,0.370783,0.15,0.008218,0.008218,0.008218,0.004109,0.016436
11,1615.28,2.38192,3.51071,0.02318,0.99874,0.42198,0.55457,0.04533,0.03989,0.02093,2.40725,3.46828,0.02591,0,0,0.421984,0.351432,0.351874,0.15,0.00802,0.00802,0.00802,0.00401,0.01604
12,1748.92,2.34607,3.51657,0.02342,0.99881,0.4086,0.41547,0.05606,0.04295,0.0227,2.38534,3.4061,0.0257,0,0,0.408605,0.340249,0.340759,0.15,0.007822,0.007822,0.007822,0.003911,0.015644
13,1882.43,2.36087,3.45715,0.02273,0.99766,0.39401,0.43675,0.05316,0.04419,0.02247,2.40033,3.50691,0.02541,0,0,0.394008,0.3279,0.32878,0.15,0.007624,0.007624,0.007624,0.003812,0.015248
14,2016,2.35352,3.43544,0.02243,0.99888,0.38895,0.46601,0.05247,0.04524,0.02448,2.38467,3.40613,0.02579,0,0,0.388951,0.323765,0.324486,0.15,0.007426,0.007426,0.007426,0.003713,0.014852
15,2149.51,2.32805,3.38239,0.02207,0.99741,0.37754,0.4069,0.06227,0.04936,0.02453,2.37626,3.32799,0.02522,0,0,0.377543,0.31425,0.314988,0.15,0.007228,0.007228,0.007228,0.003614,0.014456
16,2283,2.32146,3.38217,0.02217,0.99812,0.37596,0.45181,0.05542,0.04321,0.02252,2.39556,3.44291,0.02644,0,0,0.375958,0.312768,0.313829,0.15,0.00703,0.00703,0.00703,0.003515,0.01406
17,2416.51,2.32169,3.34073,0.02226,0.99922,0.37206,0.32934,0.06456,0.04829,0.02563,2.35817,3.33139,0.025,0,0,0.372063,0.31006,0.310046,0.15,0.006832,0.006832,0.006832,0.003416,0.013664
18,2549.99,2.31341,3.33068,0.0217,0.99869,0.36101,0.34238,0.07449,0.05469,0.02642,2.36085,3.29363,0.02489,0,0,0.36101,0.300138,0.301545,0.15,0.006634,0.006634,0.006634,0.003317,0.013268
19,2683.59,2.28503,3.3123,0.02174,0.99836,0.35951,0.39424,0.07455,0.05328,0.02884,2.35944,3.2713,0.02455,0,0,0.359507,0.299306,0.299871,0.15,0.006436,0.006436,0.006436,0.003218,0.012872
