epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/mixture_aux_loss,train/foundation,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/mixture_aux_loss,val/foundation,train/foundation_loss,train/foundation_clean_static_raw,train/foundation_second_raw,train/foundation_loss_weight,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4
1,151.195,3.25664,7.45191,0.04718,1.32473,1.07435,0.00043,0.00196,2e-05,0,3.6699,26.6071,0.06606,0,0,1.07435,1.00331,0.787281,0.15,0.00332682,0.00332682,0.0700586,0.00166341,0.00665365
2,299.921,3.00432,6.88885,0.04058,1.00275,0.98781,7e-05,0.00177,1e-05,0,3.64377,9.99855,0.0654,0,0,0.987806,1.0007,0.645639,0.15,0.00652829,0.00652829,0.0399267,0.00326414,0.0130566
3,446.94,2.74124,5.72262,0.03293,1.00331,0.88714,0.00103,0.00364,0.00013,4e-05,3.75218,29.9902,0.06536,0,0,0.887138,0.994455,0.484108,0.15,0.00959775,0.00959775,0.00966285,0.00479887,0.0191955
4,594.395,2.65307,4.84026,0.02976,1.00221,0.80137,0.0039,0.08183,0.00319,0.00139,2.78018,4.62634,0.0362,0,0,0.801366,0.973654,0.361956,0.15,0.009406,0.009406,0.009406,0.004703,0.018812
5,731.847,2.54577,4.18254,0.02711,1.00278,0.71611,0.00514,0.12573,0.00726,0.00361,2.69289,4.26592,0.03195,0,0,0.716105,0.921158,0.272351,0.15,0.009208,0.009208,0.009208,0.004604,0.018416
6,866.193,2.49738,3.96073,0.02618,0.99727,0.65225,0.00664,0.18638,0.0128,0.00674,2.56119,3.93674,0.03047,0,0,0.652247,0.851439,0.23564,0.15,0.00901,0.00901,0.00901,0.004505,0.01802
7,1000.48,2.46332,3.83331,0.02502,0.99822,0.61314,0.50087,0.03865,0.01788,0.00774,2.544,3.77914,0.02881,0,0,0.613138,0.789764,0.232132,0.15,0.008812,0.008812,0.008812,0.004406,0.017624
8,1134.73,2.4303,3.71706,0.02449,0.99871,0.56351,0.60986,0.02237,0.02533,0.01265,2.52618,3.76719,0.02803,0,0,0.563508,0.735145,0.204035,0.15,0.008614,0.008614,0.008614,0.004307,0.017228
9,1268.87,2.39807,3.67329,0.0238,0.99777,0.52868,0.67941,0.03082,0.02736,0.01305,2.46587,3.63041,0.02784,0,0,0.528682,0.681584,0.199553,0.15,0.008416,0.008416,0.008416,0.004208,0.016832
10,1402.91,2.41297,3.61815,0.02373,0.99769,0.5017,0.48669,0.03274,0.03108,0.01687,2.42534,3.58667,0.02653,0,0,0.501696,0.637029,0.19913,0.15,0.008218,0.008218,0.008218,0.004109,0.016436
11,1536.82,2.38452,3.57286,0.02322,0.99757,0.47217,0.47213,0.03988,0.03094,0.01594,2.45861,3.60299,0.02586,0,0,0.47217,0.589547,0.197403,0.15,0.00802,0.00802,0.00802,0.00401,0.01604
12,1670.89,2.36147,3.49873,0.02304,0.99859,0.44319,0.45913,0.04495,0.03469,0.01878,2.39426,3.46874,0.02591,0,0,0.443186,0.548023,0.19062,0.15,0.007822,0.007822,0.007822,0.003911,0.015644
13,1804.78,2.34434,3.48474,0.02279,0.99785,0.42185,0.44339,0.05832,0.04004,0.02097,2.41819,3.43242,0.0259,0,0,0.421848,0.512103,0.190977,0.15,0.007624,0.007624,0.007624,0.003812,0.015248
14,1938.43,2.34784,3.50349,0.02269,0.99827,0.39108,0.39506,0.05891,0.04068,0.02389,2.42862,3.5079,0.02648,0,0,0.391082,0.472789,0.179015,0.15,0.007426,0.007426,0.007426,0.003713,0.014852
15,2072.21,2.33187,3.4247,0.0224,0.99761,0.36172,0.4189,0.05491,0.04218,0.02316,2.37042,3.48293,0.02523,0,0,0.361721,0.433575,0.169293,0.15,0.007228,0.007228,0.007228,0.003614,0.014456
16,2205.8,2.33553,3.40138,0.02212,0.99871,0.33562,0.4689,0.04942,0.04275,0.02373,2.38541,3.34852,0.02544,0,0,0.335618,0.401329,0.158034,0.15,0.00703,0.00703,0.00703,0.003515,0.01406
17,2339.53,2.31724,3.37693,0.02218,0.9989,0.31698,0.38537,0.05543,0.04544,0.02378,2.33028,3.36968,0.02416,0,0,0.316976,0.377598,0.150694,0.15,0.006832,0.006832,0.006832,0.003416,0.013664
18,2473.17,2.31677,3.37354,0.0222,0.99851,0.30823,0.41068,0.06345,0.04773,0.02599,2.3768,3.35964,0.02522,0,0,0.308234,0.363999,0.149725,0.15,0.006634,0.006634,0.006634,0.003317,0.013268
19,2606.81,2.32038,3.35217,0.02215,0.99826,0.29895,0.49428,0.06376,0.04922,0.02677,2.33148,3.31325,0.02488,0,0,0.29895,0.352306,0.145944,0.15,0.006436,0.006436,0.006436,0.003218,0.012872
20,2740.34,2.32909,3.32286,0.02157,0.99876,0.29192,0.40997,0.06856,0.04799,0.02716,2.35103,3.34565,0.02451,0,0,0.291924,0.345569,0.140971,0.15,0.006238,0.006238,0.006238,0.003119,0.012476
21,2874.01,2.28143,3.3025,0.02155,0.99894,0.28761,0.4169,0.06807,0.056,0.0322,2.33327,3.28265,0.02442,0,0,0.287607,0.340499,0.138847,0.15,0.00604,0.00604,0.00604,0.00302,0.01208
22,3007.55,2.26771,3.31187,0.02137,0.99874,0.28366,0.39169,0.07519,0.0542,0.03038,2.28872,3.28048,0.02378,0,0,0.283658,0.333778,0.138985,0.15,0.005842,0.005842,0.005842,0.002921,0.011684
23,3140.94,2.29026,3.27889,0.02173,0.99918,0.27691,0.46135,0.07103,0.06195,0.03267,2.34891,3.25752,0.02436,0,0,0.276912,0.331074,0.130445,0.15,0.005644,0.005644,0.005644,0.002822,0.011288
24,3274.3,2.26611,3.2324,0.0209,0.99912,0.27824,0.37826,0.07473,0.06444,0.03596,2.32316,3.23555,0.02414,0,0,0.27824,0.325262,0.138471,0.15,0.005446,0.005446,0.005446,0.002723,0.010892
25,3407.74,2.26773,3.25348,0.0213,0.99892,0.27081,0.37198,0.08442,0.05962,0.03246,2.27223,3.19331,0.02381,0,0,0.270813,0.321793,0.129563,0.15,0.005248,0.005248,0.005248,0.002624,0.010496
26,3541.32,2.26231,3.2266,0.02119,0.99933,0.27352,0.38298,0.08455,0.06486,0.03508,2.32976,3.22417,0.02372,0,0,0.273515,0.320986,0.134872,0.15,0.00505,0.00505,0.00505,0.002525,0.0101
