seed,arm,condition,map50_95
20260824,B,clean,0.053462188328357786
20260824,B,brightness:0.8,0.05334386103850011
20260824,B,brightness:0.6,0.05140767781154134
20260824,B,contrast:0.75,0.05379937791453942
20260824,B,contrast:0.5,0.04807130248006574
20260824,B,gaussian_blur:1.0,0.04709799185724022
20260824,B,gaussian_blur:2.0,0.021098920799567197
20260824,B,gaussian_noise:0.03,0.04208049475330634
20260824,B,gaussian_noise:0.06,0.029850670439743578
20260824,Cnorm,clean,0.056853859373052616
20260824,Cnorm,brightness:0.8,0.057027523399854625
20260824,Cnorm,brightness:0.6,0.056937182979424024
20260824,Cnorm,contrast:0.75,0.05448017856083567
20260824,Cnorm,contrast:0.5,0.05352467998030824
20260824,Cnorm,gaussian_blur:1.0,0.047637127393640344
20260824,Cnorm,gaussian_blur:2.0,0.016802851606044833
20260824,Cnorm,gaussian_noise:0.03,0.03943333455860711
20260824,Cnorm,gaussian_noise:0.06,0.025626006294663432
20260825,B,clean,0.05245950768232267
20260825,B,brightness:0.8,0.05391689494864919
20260825,B,brightness:0.6,0.054056341217225745
20260825,B,contrast:0.75,0.052365768849084934
20260825,B,contrast:0.5,0.05051724212477616
20260825,B,gaussian_blur:1.0,0.04932375353800314
20260825,B,gaussian_blur:2.0,0.018439305019711225
20260825,B,gaussian_noise:0.03,0.04307994252595195
20260825,B,gaussian_noise:0.06,0.02592132829361719
20260825,Cnorm,clean,0.05507515472760357
20260825,Cnorm,brightness:0.8,0.058021211090037134
20260825,Cnorm,brightness:0.6,0.05800475197944804
20260825,Cnorm,contrast:0.75,0.05280301393828137
20260825,Cnorm,contrast:0.5,0.047653053202682726
20260825,Cnorm,gaussian_blur:1.0,0.04647229894436407
20260825,Cnorm,gaussian_blur:2.0,0.02127619485744409
20260825,Cnorm,gaussian_noise:0.03,0.04160215093045977
20260825,Cnorm,gaussian_noise:0.06,0.027681624804760822
20260826,B,clean,0.05193728396817385
20260826,B,brightness:0.8,0.054050951515723346
20260826,B,brightness:0.6,0.05525808946901672
20260826,B,contrast:0.75,0.0542169976653344
20260826,B,contrast:0.5,0.052759658410988446
20260826,B,gaussian_blur:1.0,0.04701902635228071
20260826,B,gaussian_blur:2.0,0.019182055121283535
20260826,B,gaussian_noise:0.03,0.039984610740623705
20260826,B,gaussian_noise:0.06,0.027064758642593098
20260826,Cnorm,clean,0.0493511556168321
20260826,Cnorm,brightness:0.8,0.04825015525868208
20260826,Cnorm,brightness:0.6,0.04747604653230002
20260826,Cnorm,contrast:0.75,0.04874302342630607
20260826,Cnorm,contrast:0.5,0.04543461946004954
20260826,Cnorm,gaussian_blur:1.0,0.04249801616748702
20260826,Cnorm,gaussian_blur:2.0,0.018586034678899434
20260826,Cnorm,gaussian_noise:0.03,0.03309323089583676
20260826,Cnorm,gaussian_noise:0.06,0.023964267573605966
