scope,group,metric,n,blocks,mean,std,median,q25,q75,positive_fraction,negative_fraction,ci_low,ci_high
pooled,all,A_Z,384,16,37.304034783303344,30.139254536276322,23.355071566664044,12.699342751367938,60.734661201968464,1.0,0.0,21.7243629112835,24.786235720554004
pooled,all,A_Z_single,384,16,26.37793596089263,21.3116712625084,16.51452947988527,8.979791376104497,42.94589078897941,1.0,0.0,15.361444331526089,17.526515358091967
pooled,all,A_P4,384,16,35.161347600536516,29.34668733841736,21.328581906437716,10.956543084600188,57.60112554044351,1.0,0.0,19.65281991503819,22.648165704325955
pooled,all,projector_transfer_ratio,384,16,0.9187019673453776,0.07391948095817473,0.9213509602619041,0.8771298564054981,0.9663965717769443,1.0,0.0,0.9083754435941283,0.9415213046487914
pooled,all,G_norm,384,16,19.775871534884644,15.814929711331207,12.439322434084776,6.78212163538279,32.66177206582014,1.0,0.0,11.654899349912888,13.496756651204832
pooled,all,G_angle,384,16,1.325223142342917,0.056552115698707835,1.3230346458761502,1.2835852566542487,1.3537864698288304,1.0,0.0,1.3076597897449962,1.3405014667577615
pooled,all,dominance_margin,384,16,2.0094955789421527,0.8514118245578532,1.8883919348090066,1.2871364352293932,2.8474899394105315,0.9947916666666666,0.005208333333333333,1.8200982993394996,2.0019822552253856
pooled,all,student_static_norm_median,384,16,3.90027849457411,0.32614451859313076,3.885749269821871,3.6729926612559405,4.039819323587913,1.0,0.0,3.8481923478713007,3.9200163648181516
pooled,all,student_response_norm_median,384,16,0.44588831790100075,0.38679312747306094,0.346861809639191,0.1369223695348186,0.6461852460712472,1.0,0.0,0.3236312295821875,0.3975174372338587
pooled,all,teacher_response_norm_median,384,16,0.29232272824922023,0.21138914079853172,0.23194700000724291,0.098235164933037,0.47481732773064406,1.0,0.0,0.21849965337581642,0.2415091254746383
pooled,all,cos_static_mean,384,16,0.6452497782296872,0.032670543804258725,0.6483460639551649,0.6241529160716678,0.6658999535945958,1.0,0.0,0.6359145318929118,0.6593229530844432
pooled,all,cos_response_mean,384,16,-0.0010565641683405345,0.017045294358312726,-0.0003452159213762644,-0.012448051690000489,0.010737310436520812,0.4973958333333333,0.5026041666666666,-0.003269976767617022,0.0027720975369310147
pooled,all,response_grad_Z,384,16,0.22744720402243326,0.18209252079616436,0.14555690774945704,0.07820331289479922,0.3704587285146683,1.0,0.0,0.12737776360352054,0.16045583504631875
pooled,all,response_grad_P4,384,16,0.16567563353867262,0.1328400516070165,0.10140600924383503,0.055906932354688216,0.2785876909674949,1.0,0.0,0.09421277054588709,0.10655922529934758
seed,20260824,A_Z,128,16,39.74084209401891,32.59663781228618,24.30600649035083,12.830215091659621,63.30929732782013,1.0,0.0,20.87090693118299,29.7950985218622
seed,20260824,A_Z_single,128,16,28.101018934744566,23.04930364094938,17.186942012891308,9.0723320953945,44.76643345265698,1.0,0.0,14.757959820552808,21.06831621093004
seed,20260824,A_P4,128,16,37.565022567442654,32.02012482536632,22.42561233049184,10.84067529110298,60.19516254654624,1.0,0.0,18.886297229540855,27.138066486136175
seed,20260824,projector_transfer_ratio,128,16,0.914898037053695,0.09324922665031352,0.9138588130051906,0.8541678781200625,0.9749099523817437,1.0,0.0,0.8823010510505368,0.9505385738585188
seed,20260824,G_norm,128,16,20.378682650956478,16.476538336763902,12.89325669823982,6.716619095202249,32.81225841388434,1.0,0.0,11.339903995214996,14.961065424425888
seed,20260824,G_angle,128,16,1.363889721689489,0.06021295893627442,1.3602324139015431,1.3245063360631226,1.403892713364934,1.0,0.0,1.3288637127962275,1.39186232535854
seed,20260824,dominance_margin,128,16,1.9853277185027798,0.8928925290269067,1.9050632696806336,1.271547606680656,2.823269243427485,0.984375,0.015625,1.7467664785837003,2.0379343936287997
seed,20260824,student_static_norm_median,128,16,4.134556423576953,0.3825401932843622,4.061595967773689,4.010565048314221,4.136708422985048,1.0,0.0,4.024231378410814,4.109967859018825
seed,20260824,student_response_norm_median,128,16,0.4911481810463275,0.4937551542686293,0.3690191383128444,0.1374835675055705,0.6639663562047297,1.0,0.0,0.3126780515329981,0.43592201708958844
seed,20260824,teacher_response_norm_median,128,16,0.29325294418085845,0.213739931089325,0.23194700000724291,0.09969181358648545,0.4822537162299724,1.0,0.0,0.21670256658784715,0.24289323867626939
seed,20260824,cos_static_mean,128,16,0.6635344529589562,0.03507751111472142,0.6663479224768323,0.6471408749123981,0.6843978831140602,1.0,0.0,0.6496318242376693,0.6793556010229209
seed,20260824,cos_response_mean,128,16,-0.004282713766908738,0.020829164571218212,-0.0027313961427476,-0.017669182250000578,0.009853250204972522,0.4296875,0.5703125,-0.009056301016636967,0.001257739223961525
seed,20260824,response_grad_Z,128,16,0.22221356470667664,0.18001498060797103,0.14163312771910208,0.07539488921781386,0.36468588626606396,1.0,0.0,0.11783872326150609,0.16572971190164945
